景点名称,经纬度,拥堵等级,平均车速(km/h),路况描述,查询时间,查询状态
磁器口,"106.5740,29.5630",畅通,41.1,道路畅通，车速正常,2026-04-27 00:00:00,成功
洪崖洞,"106.5800,29.5400",畅通,35.1,道路畅通，车速正常,2026-04-08 00:00:00,成功
解放碑,"106.5550,29.5820",畅通,34.1,道路畅通，车速正常,2026-04-12 00:00:00,成功
南坪,"106.5600,29.5500",缓行,18.4,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
李子坝,"106.5725,29.5601",畅通,45.0,道路畅通，车速正常,2026-04-23 00:00:00,成功
鹅岭,"106.5725,29.5601",畅通,34.5,道路畅通，车速正常,2026-04-17 00:00:00,成功
洪崖洞,"106.5600,29.5500",畅通,50.7,道路畅通，车速正常,2026-04-13 00:00:00,成功
长江大桥,"106.5800,29.5400",缓行,24.6,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
李子坝,"106.5740,29.5630",畅通,31.8,道路畅通，车速正常,2026-04-08 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",畅通,37.9,道路畅通，车速正常,2026-04-15 00:00:00,成功
朝天门,"106.5800,29.5400",缓行,29.0,车流量较大，行驶缓慢,2026-04-21 00:00:00,成功
杨家坪,"106.5760,29.5660",缓行,28.5,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
观音桥,"106.5600,29.5500",缓行,20.7,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",畅通,43.2,道路畅通，车速正常,2026-04-16 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",缓行,29.8,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
南山,"106.5760,29.5660",缓行,18.5,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,21.2,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
鹅岭,"106.5550,29.5820",畅通,43.6,道路畅通，车速正常,2026-04-08 00:00:00,成功
南坪,"106.5725,29.5601",畅通,31.2,道路畅通，车速正常,2026-04-12 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,18.2,车流量较大，行驶缓慢,2026-04-27 00:00:00,成功
南山,"106.5740,29.5630",畅通,43.2,道路畅通，车速正常,2026-04-01 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",拥堵,12.9,严重拥堵，建议绕行,2026-04-05 00:00:00,成功
长江大桥,"106.5725,29.5601",畅通,40.1,道路畅通，车速正常,2026-04-25 00:00:00,成功
李子坝,"106.5740,29.5630",畅通,33.6,道路畅通，车速正常,2026-04-07 00:00:00,成功
鹅岭,"106.5600,29.5500",畅通,40.2,道路畅通，车速正常,2026-04-07 00:00:00,成功
嘉陵江大桥,"106.5600,29.5500",畅通,37.7,道路畅通，车速正常,2026-04-07 00:00:00,成功
杨家坪,"106.5740,29.5630",缓行,21.1,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
观音桥,"106.5740,29.5630",畅通,47.4,道路畅通，车速正常,2026-04-13 00:00:00,成功
南山,"106.5725,29.5601",缓行,17.5,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
长江大桥,"106.5800,29.5400",缓行,21.8,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
长江大桥,"106.5550,29.5820",缓行,23.2,车流量较大，行驶缓慢,2026-04-21 00:00:00,成功
朝天门,"106.5550,29.5820",畅通,31.9,道路畅通，车速正常,2026-04-26 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",畅通,31.4,道路畅通，车速正常,2026-04-17 00:00:00,成功
解放碑,"106.5760,29.5660",缓行,28.3,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",畅通,31.4,道路畅通，车速正常,2026-04-22 00:00:00,成功
杨家坪,"106.5800,29.5400",畅通,46.4,道路畅通，车速正常,2026-04-10 00:00:00,成功
观音桥,"106.5600,29.5500",畅通,37.3,道路畅通，车速正常,2026-04-27 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",畅通,46.3,道路畅通，车速正常,2026-04-20 00:00:00,成功
鹅岭,"106.5725,29.5601",缓行,21.4,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
长江大桥,"106.5760,29.5660",畅通,40.2,道路畅通，车速正常,2026-04-09 00:00:00,成功
李子坝,"106.5760,29.5660",缓行,15.9,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,40.1,道路畅通，车速正常,2026-04-09 00:00:00,成功
磁器口,"106.5740,29.5630",缓行,15.9,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
长江大桥,"106.5760,29.5660",缓行,25.7,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,32.0,道路畅通，车速正常,2026-04-06 00:00:00,成功
